ltable_id,rtable_id,label,left_id,left_name,left_description,left_price,right_id,right_name,right_description,right_price
730,775,0,730,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,775,lg ldf6920bb fully integrated dishwasher,,
670,820,0,670,speck seethru clear hard shell case for macbook air mbaclrsee,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,,820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,
497,239,0,497,denon blu-ray disc dvd/cd player dvd3800bdci,denon blu-ray disc dvd/cd player dvd3800bdci 10-bit realta hqv video processor 1080p/24fps output and multi-cadence detection hdmi 1.3 a output with 36-bit deep color support dual 32-bit floating point dsp multi-layered construction with dual-layered top shields and triple-layered bottom suppress vibration hybrid ( s.v.h. ) loader black finish,1999.0,239,denon dvd-2930ci dvd player dvd2930ci,"dvd + rw , dvd-rw , cd-rw dvd video , dvd audio , sacd , video cd , picture cd , jpeg , wma , pcm , hdcd , mp3 , mpeg-1 , mpeg-2 , mpeg-4 , divx playback 1 disc ( s ) progressive scan black",448.0
644,299,0,644,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t 3 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,299,panasonic kx-tg1032s dual handset digital cordless phone,1 x phone line ( s ) headset jack silver,61.14
464,32,0,464,sony silver minidv handycam camcorder dcrhc52,sony silver minidv handycam camcorder dcrhc52 680k pixels imager carl zeiss vario-tessar lens 40x optical zoom and 2000x digital zoom 2.5 ' touch panel lcd display super steadyshot image stabilization super nightshot plus technology easy handycam button fader effects manual focus multi-language menu silver finish,,32,sony minidv head cleaner dvm12cld,head cleaner,7.95
855,1061,0,855,onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b,"onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b 100 watts per channel all discrete circuitry linear optimum gain volume dolby digital plus , dolby truehd and dts-hd decoding hdmi version v1 .3 a repeater dsd processing audyssey dynamic eq accurate speaker distance setting hdmi deep color capable ( 36bit ) analog to hdmi 1080p upconversion faroudja dcdi cinema black finish",,1061,onkyo tx-nr906 a/v receiver txnr906b,"thx ultra 2 , dolby digital plus , dolby truehd , dts-hd , neural surroundfm , am",1497.99
671,817,0,671,speck seethru pink hard shell case for macbook air mbapnksee,speck seethru pink hard shell case for macbook air mbapnksee thin and sleek protective case access to all ports 2-piece snap on pink finish,,817,speck products seethru case for apple 13 ' macbook mb13-clr-see-v2,plastic clear,
255,871,1,255,whirlpool white front load washer wfw9200swh,whirlpool duet wfw9200sq white front load washer wfw9200swh 4.0 cu . ft. capacity 6th sense technology quiet wash plus noise reduction built-in water heater add-a-garment feature sanitary cycle 4 temperature selections white finish,,871,whirlpool 27 ' duet washer horiz axis wp,,910.91
328,302,0,328,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s up to 17 hours of talk time expandable up to 6 handsets up to 3-way conference capability light-up indicator with ringer/message alert backlit lcd on handset digital speakerphone 16-minute all-digital answering system silver finish,69.0,302,panasonic kx-tga101s dect 6.0 expansion handset,,36.04
345,874,0,345,canon eos 40d digital slr camera and 28-135mm lens eos40d28135,"canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish",,874,canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003,"canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black",461.96
